Designação da instituição,Distrito,Concelho,Modalidade Desportiva,Federação Desportiva,Variante,Edição,Homens,Mulheres
Escola Básica/ Jardim de Infância de Santo António,Açores,São Roque do Pico,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,20,20
Escola Básica/ Jardim de Infância de São Pedro,Açores,Vila do Porto,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,8,3
Escola Básica/ Jardim de Infância de Terra-Chã,Açores,Angra do Heroísmo,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,3
Escola Básica/ Jardim de Infância de Vila do Porto,Açores,Vila do Porto,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,2,9
Escola Básica/ Jardim de Infância do Aeroporto,Açores,Vila do Porto,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,6,5
Escola Básica/ Jardim de Infância Escultora Luisa Constantino,Açores,Ribeira Grande,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,36,32
Escola Básica/ Jardim de Infância Francisco Medeiros Garoupa,Açores,Vila Franca do Campo,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,8,6
Escola Básica/ Jardim de Infância Professor António Santos Botelho,Açores,Vila Franca do Campo,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,16,0
Escola Básica/ Jardim de Infância Professor Manuel Sequeira,Açores,Angra do Heroísmo,Judo_Judo,Judo,Judo,2012 / 2013,16,4
Escola Básica/ Jardim de Infãncia São João de Deus,Açores,Ponta Delgada,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,0,4
Escola Cruzeiro N.º1 de Rans,Porto,Penafiel,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,7
Escola de Andebol de Moimenta da Beira,Viseu,Moimenta da Beira,Andebol_Andebol,Andebol,Andebol,2012 / 2013,70,42
Escola de Atletismo Mário Silva,Braga,Braga,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,0,1
Escola de Atletismo Rosa Oliveira,Braga,Vila Nova de Famalicão,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,41,22
Escola de Desporto Carlos Franco - Associação,Guarda,Seia,Futebol_Futebol 11,Futebol,Futebol 11,s/d,0,0
Escola de Desporto Carlos Franco - Associação,Guarda,Seia,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,36,0
Escola de Equitação de Almodôvar,Beja,Almodôvar,Equestre_Equestre,Equestre,Equestre,2012 / 2013,5,5
Escola de Equitação do Convento de São Domingos,Setúbal,Setúbal,Equestre_Equestre,Equestre,Equestre,2012 / 2013,5,10
Escola de Equitação Gassman Lda.,Lisboa,Cascais,Equestre_Equestre,Equestre,Equestre,2012 / 2013,1,3
Escola de Equitação Quinta do Azinheira,Lisboa,Mafra,Equestre_Equestre,Equestre,Equestre,2012 / 2013,2,2
Escola de Equitação Ricardo Rebelo,Lisboa,Lourinhã,Equestre_Equestre,Equestre,Equestre,2012 / 2013,5,3
"Escola de Formação Desportiva em Futebol ""O Fintas""",Braga,Braga,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,66,0
"Escola de Formação Desportiva em Futebol ""O Fintas""",Braga,Braga,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,24,0
"Escola de Futebol ""Os Craques""",Braga,Vieira do Minho,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,14,0
"Escola de Futebol ""Os Craques""",Braga,Vieira do Minho,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,16,0
Escola de Futebol Bragafut - Associação Desportiva,Braga,Vila Verde,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,64,0
Escola de Futebol Bragafut - Associação Desportiva,Braga,Vila Verde,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,16,0
Escola de Futebol Crescer de Bragança,Bragança,Bragança,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,16,0
Escola de Futebol Crescer de Bragança,Bragança,Bragança,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,49,0
Escola de Futebol Crescer de Bragança,Bragança,Bragança,Futebol_Futsal,Futebol,Futsal,2012 / 2013,63,0
Escola de Futebol de Alcanena,Santarém,Alcanena,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,47,0
Escola de Futebol de Alcanena,Santarém,Alcanena,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,88,0
Escola de Futebol de Tomar - Associação,Santarém,Tomar,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,47,0
Escola de Futebol de Tomar - Associação,Santarém,Tomar,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,63,0
Escola de Futebol Feminino de Setúbal - Associação,Setúbal,Setúbal,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,0,31
Escola de Futebol Fernando Pires,Braga,Braga,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,93,0
Escola de Futebol Fernando Pires,Braga,Braga,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,15,0
Escola de Futebol Francisco Vital,Braga,Vila Nova de Famalicão,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,17,0
Escola de Futebol Francisco Vital,Braga,Vila Nova de Famalicão,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,13,0
Escola de Futebol Luciano Sousa,Viana do Castelo,Viana do Castelo,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,17,0
Escola de Futebol Luciano Sousa,Viana do Castelo,Viana do Castelo,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,45,0
Escola de Futsal Viveiro - Fundação Assistência Desenvolvimento e Formação Profissional,Coimbra,Miranda do Corvo,Futebol_Futsal,Futebol,Futsal,2012 / 2013,26,2
Escola de Futsal ZonaFut,Viana do Castelo,Valença,Futebol_Futsal,Futebol,Futsal,2012 / 2013,0,10
Escola de Judo de Coimbra - Clube Sakura,Coimbra,Coimbra,Judo_Judo,Judo,Judo,2012 / 2013,62,28
Escola de Judo Estrela Marinhense,Leiria,Marinha Grande,Judo_Judo,Judo,Judo,2012 / 2013,47,32
Escola de Judo Nuno Delgado,Lisboa,Lisboa,Judo_Judo,Judo,Judo,2012 / 2013,1048,326
Escola de Kickboxing da Nazaré,Leiria,Nazaré,Kickboxing e Muaythai_Kickboxing e Muaythai,Kickboxing e Muaythai,Kickboxing e Muaythai,2012 / 2013,29,4
Escola de Patinagem de Ponta Delgada,Açores,Ponta Delgada,Patinagem_Patinagem Artística,Patinagem,Patinagem Artística,2012 / 2013,1,49
Escola de Rugby Cercar-te,Porto,Porto,Rugby_Rugby,Rugby,Rugby,s/d,0,0
Escola de Taekwondo de Canhestros,Beja,Ferreira do Alentejo,Taekwondo_Taekwondo,Taekwondo,Taekwondo,2012 / 2013,20,18
Escola de Ténis CHPF,Setúbal,Almada,Ténis_Ténis,Ténis,Ténis,2012 / 2013,5,0
Escola de Ténis da Maia,Porto,Maia,Ténis_Ténis,Ténis,Ténis,2012 / 2013,446,175
Escola de Ténis Daniel Sá,Lisboa,Cascais,Ténis_Ténis,Ténis,Ténis,2012 / 2013,21,3
Escola de Ténis de Olhão,Faro,Olhão,Ténis_Ténis,Ténis,Ténis,2012 / 2013,13,3
Escola de Ténis de Paços de Ferreira - Associação Recreativa e Cultural de Sobrão,Porto,Paços de Ferreira,Ténis_Ténis,Ténis,Ténis,2012 / 2013,27,10
Escola de Ténis do Centro,Coimbra,Coimbra,Ténis_Ténis,Ténis,Ténis,2012 / 2013,36,23
Escola de Ténis do Técnico - Fastsports,Lisboa,Lisboa,Ténis_Ténis,Ténis,Ténis,2012 / 2013,2,1
Escola de Ténis Igor Vale,Braga,Esposende,Ténis_Ténis,Ténis,Ténis,2012 / 2013,15,15
Escola de Ténis Jaime Caldeira,Lisboa,Loures,Ténis_Ténis,Ténis,Ténis,2012 / 2013,42,8
Escola de Ténis João Ferreira Silva,Porto,Vila Nova de Gaia,Ténis_Ténis,Ténis,Ténis,2012 / 2013,16,2
Escola de Ténis José Mário Silva,Lisboa,Lisboa,Ténis_Ténis,Ténis,Ténis,2012 / 2013,47,0
Escola de Ténis Nuno Allegro,Porto,Porto,Ténis_Ténis,Ténis,Ténis,2012 / 2013,17,3
Escola de Ténis Pedro Smash,Lisboa,Lourinhã,Ténis_Ténis,Ténis,Ténis,2012 / 2013,10,1
Escola de Ténis Principe Perfeito,Viseu,Viseu,Ténis_Ténis,Ténis,Ténis,2012 / 2013,15,5
Escola de Ténis Quinta da Conceição,Porto,Matosinhos,Ténis_Ténis,Ténis,Ténis,2012 / 2013,18,9
Escola de Tiro de Santo Isidro de Pegões,Setúbal,Montijo,Tiro com Armas de Caça_Tiro com Armas de Caça,Tiro com Armas de Caça,Tiro com Armas de Caça,2012 / 2013,315,10
Escola de Triatlo do Grupo Desportivo e Cultural de Santo António,Évora,Évora,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,11,5
Escola Desportiva de Viana,Viana do Castelo,Viana do Castelo,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,6,54
Escola Desportiva de Viana,Viana do Castelo,Viana do Castelo,Esgrima_Esgrima,Esgrima,Esgrima,2012 / 2013,20,8
Escola Desportiva de Viana,Viana do Castelo,Viana do Castelo,Ginástica_Ginastica Trampolins,Ginástica,Ginastica Trampolins,2012 / 2013,1,27
Escola Desportiva de Viana,Viana do Castelo,Viana do Castelo,Natação_Natação Pura,Natação,Natação Pura,2012 / 2013,58,37
Escola Desportiva de Viana,Viana do Castelo,Viana do Castelo,Patinagem_Hóquei em Patins,Patinagem,Hóquei em Patins,2012 / 2013,43,0
Escola Desportiva de Viana,Viana do Castelo,Viana do Castelo,Patinagem_Patinagem Artística,Patinagem,Patinagem Artística,2012 / 2013,4,31
Escola Desportiva e Cultural de Gondomar,Porto,Gondomar,Futebol_Futsal,Futebol,Futsal,2012 / 2013,63,32
Escola Desportiva Limiana,Viana do Castelo,Ponte de Lima,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,44,10
Escola Desportiva Limiana,Viana do Castelo,Ponte de Lima,Natação_Águas Abertas,Natação,Águas Abertas,2012 / 2013,5,5
Escola Desportiva Limiana,Viana do Castelo,Ponte de Lima,Natação_Natação Pura,Natação,Natação Pura,2012 / 2013,13,13
Escola do Lombo da Guiné,Madeira,Calheta (Madeira),Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,10,6
Escola do Movimento Associação Juvenil,Porto,Porto,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,68,59
Escola Dramática Musical Valboense,Porto,Gondomar,Patinagem_Patinagem Artística,Patinagem,Patinagem Artística,2012 / 2013,5,21
Escola Equestre de Aveiro,Aveiro,Aveiro,Equestre_Equestre,Equestre,Equestre,2012 / 2013,1,4
Escola Escola Básica 1 de Guilheta,Braga,Esposende,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,10,18
Escola Evaristo Nogueira ,Guarda,Seia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,28,22
Escola Gímnica de Aveiro,Aveiro,Aveiro,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,3,64
Escola Gímnica de Aveiro,Aveiro,Aveiro,Ginástica_Ginástica Rítmica,Ginástica,Ginástica Rítmica,2012 / 2013,0,42
Escola Livre de Azeméis,Aveiro,Oliveira de Azeméis,Patinagem_Hóquei em Patins,Patinagem,Hóquei em Patins,2012 / 2013,14,0
Escola Municipal de Andebol de Cinfães,Viseu,Cinfães,Andebol_Andebol,Andebol,Andebol,2012 / 2013,18,0
Escola Municipal de Andebol de São João da Pesqueira,Viseu,São João da Pesqueira,Andebol_Andebol,Andebol,Andebol,2012 / 2013,25,8
Escola Municipal de Desporto de Barrancos,Beja,Barrancos,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,3,6
Escola Municipal de Desporto de Setúbal,Setúbal,Setúbal,Esgrima_Esgrima,Esgrima,Esgrima,2012 / 2013,7,0
Escola Municipal de Desporto de Setúbal,Setúbal,Setúbal,Natação_Natação Pura,Natação,Natação Pura,2012 / 2013,19,8
Escola Municipal de Desporto de Setúbal,Setúbal,Setúbal,Pentatlo Moderno_Pentatlo Moderno,Pentatlo Moderno,Pentatlo Moderno,2012 / 2013,27,13
Escola Municipal de Ténis de Oliveira do Bairro,Aveiro,Oliveira do Bairro,Ténis_Ténis,Ténis,Ténis,2012 / 2013,7,1
Escola Municipal Lamego Convida - Centro Escolar Sudeste - Ferreirim,Viseu,Lamego,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,37,31
Escola Municipal Lamego Convida - Escola Básica Nº 2 de Lamego,Viseu,Lamego,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,37,41
Escola Nacional de Equitaçao,Santarém,Golegã,Equestre_Equestre,Equestre,Equestre,2012 / 2013,39,49
Escola Naval - Marinha Portuguesa,Setúbal,Almada,FADU_FADU,FADU,FADU,2012 / 2013,87,25
Escola Preparatória de Capelas,Açores,Ponta Delgada,Andebol_Andebol,Andebol,Andebol,s/d,0,0
Escola Preparatória de Capelas,Açores,Ponta Delgada,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,32,25
Escola Preparatória de Capelas,Açores,Ponta Delgada,Xadrez_Xadrez,Xadrez,Xadrez,2012 / 2013,13,3
Escola Preparatória de Carnaxide Os Catedráticos,Lisboa,Oeiras,Ténis de Mesa_Ténis de Mesa,Ténis de Mesa,Ténis de Mesa,2012 / 2013,16,2
Escola Profissional Agrícola Conde de São Bento,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,18,21
Escola Profissional Agrícola D. Dinis - Paiã,Lisboa,Odivelas,Equestre_Equestre,Equestre,Equestre,2012 / 2013,24,41
Escola Profissional de Agricultura e Desenvolvimento Rural de Vagos,Aveiro,Vagos,Equestre_Equestre,Equestre,Equestre,2012 / 2013,33,26
Escola Profissional de Desenvolvimento Rural de Abrantes,Santarém,Abrantes,Equestre_Equestre,Equestre,Equestre,2012 / 2013,16,17
Escola Profissional de Desenvolvimento Rural de Alter do Chão,Portalegre,Alter do Chão,Equestre_Equestre,Equestre,Equestre,2012 / 2013,43,27
Escola Profissional de Desenvolvimento Rural de Serpa,Beja,Serpa,Equestre_Equestre,Equestre,Equestre,2012 / 2013,25,32
Escola Profissional de Tondela,Viseu,Tondela,Andebol_Andebol,Andebol,Andebol,2012 / 2013,39,5
Escola Profissional do Centro Juvenil da Campanhã,Porto,Porto,Esgrima_Esgrima,Esgrima,Esgrima,2012 / 2013,13,0
Escola Profissional Mariana Seixas,Viseu,Viseu,Ténis de Mesa_Ténis de Mesa,Ténis de Mesa,Ténis de Mesa,2012 / 2013,2,0
Escola Regional Dr. José Dinis da Fonseca,Guarda,Sabugal,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,55,29
Escola Salesiana de Artes e Oficios,Madeira,Funchal,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,15,0
Escola Secundária Almeida Garrett,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,2,20
Escola Secundária Alves Martins,Viseu,Viseu,Voleibol_Voleibol,Voleibol,Voleibol,s/d,,
Escola Secundária Amato Lusitano,Castelo Branco,Castelo Branco,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,1,1
Escola Secundária Bernardino Machado - Clube de Basket,Coimbra,Figueira da Foz,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,28,2
Escola Secundária da Ribeira Grande,Açores,Ribeira Grande,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,0,60
Escola Secundária da Sé,Guarda,Guarda,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,24,13
Escola Secundária de Amares,Braga,Amares,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,55,6
Escola Secundária de Ermesinde,Porto,Valongo,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,16
Escola Secundária de Júlio Dinis,Aveiro,Ovar,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,5,5
Escola Secundária de Loulé,Faro,Loulé,Ténis de Mesa_Ténis de Mesa,Ténis de Mesa,Ténis de Mesa,2012 / 2013,5,2
Escola Secundária de Maximinos,Braga,Braga,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,0,17
Escola Secundária de Mogadouro,Bragança,Mogadouro,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,0,2
Escola Secundária de Monserrate,Viana do Castelo,Viana do Castelo,Tiro com Arco_Tiro com Arco,Tiro com Arco,Tiro com Arco,2012 / 2013,4,6
Escola Secundária de Palmela,Setúbal,Palmela,Orientação_Orientação,Orientação,Orientação,2012 / 2013,10,4
Escola Secundária de Pedro Nunes,Lisboa,Lisboa,Judo_Judo,Judo,Judo,2012 / 2013,6,0
Escola Secundária de Penafiel,Porto,Penafiel,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,67,59
Escola Secundária de Pinhal Novo,Setúbal,Palmela,Orientação_Orientação,Orientação,Orientação,2012 / 2013,3,2
Escola Secundária de Seia - Escola Básica 23 de Paranhos/ Tourais,Guarda,Seia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,28,21
Escola Secundária de Seia (Seia),Guarda,Seia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,0,21
Escola Secundária de Trancoso,Guarda,Trancoso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,1,5
Escola Secundária Dr. Serafim Leite,Aveiro,Santa Maria da Feira,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,25,17
Escola Secundária Fontes Pereira de Melo,Porto,Porto,Judo_Judo,Judo,Judo,2012 / 2013,15,10
Escola Secundária Frei Rosa Viterbo,Viseu,Sátão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,36,59
Escola Secundária Grão Vasco,Viseu,Viseu,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,7,0
Escola Secundária Manuel Teixeira Gomes,Faro,Portimão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,8,9
Escola Secundária Miguel Torga,Lisboa,Sintra,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,6,10
Escola Secundária Miguel Torga,Lisboa,Sintra,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,23,107
Escola Secundária Quinta das Palmeiras/ Universidade da Beira Interior,Castelo Branco,Covilhã,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,29,0
Escola Secundária Severim de Faria,Évora,Évora,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,1,7
Escola Secundária Stuart Carvalhais,Lisboa,Sintra,Patinagem_Hóquei em Patins,Patinagem,Hóquei em Patins,2012 / 2013,100,21
Escola Superior Agrária - Instituto Politécnico de Castelo Branco,Castelo Branco,Castelo Branco,Equestre_Equestre,Equestre,Equestre,2012 / 2013,8,7
Escola Superior Agraria de Coimbra - Instituto Politécnico de Coimbra,Coimbra,Coimbra,Equestre_Equestre,Equestre,Equestre,2012 / 2013,11,13
Escola Superior Agrária de Elvas,Portalegre,Elvas,Equestre_Equestre,Equestre,Equestre,2012 / 2013,9,6
Escola Superior Agrária de Santarém - Instituto Politécnico de Santarém,Santarém,Santarém,Equestre_Equestre,Equestre,Equestre,2012 / 2013,15,30
Escola Superior de Enfermagem do Porto,Porto,Porto,FADU_FADU,FADU,FADU,2012 / 2013,0,1
Escola Superior Gallaecia,Viana do Castelo,Vila Nova de Cerveira,FADU_FADU,FADU,FADU,2012 / 2013,0,1
Escola Ténis Almada - Match Ball,Setúbal,Almada,Ténis_Ténis,Ténis,Ténis,2012 / 2013,20,5
Escola Universitária Vasco da Gama,Coimbra,Coimbra,FADU_FADU,FADU,FADU,2012 / 2013,1,0
Escolinha de Futsal Arnaldo Pereira (Bragança),Bragança,Bragança,Futebol_Futsal,Futebol,Futsal,2012 / 2013,26,0
Escolinha de Futsal Arnaldo Pereira (Chaves),Vila Real,Chaves,Futebol_Futsal,Futebol,Futsal,s/d,0,0
Escolinha de Rugby da Galiza,Lisboa,Cascais,Rugby_Rugby,Rugby,Rugby,2012 / 2013,81,20
Escolinha de Rugby da Galiza,Lisboa,Cascais,Rugby_Rugby 13,Rugby,Rugby 13,s/d,0,0
Escolinha de Rugby da Galiza,Lisboa,Cascais,Rugby_Rugby 7,Rugby,Rugby 7,s/d,0,0
Escolinha de Rugby da Trofa,Porto,Trofa,Rugby_Rugby,Rugby,Rugby,s/d,,
Escolinha de Rugby de São João da Talha,Lisboa,Loures,Rugby_Rugby,Rugby,Rugby,s/d,0,0
Escolinha de Rugby de São João da Talha,Lisboa,Loures,Rugby_Rugby 7,Rugby,Rugby 7,2012 / 2013,29,7
Escolinha do Desporto da Carreirinha,Açores,Angra do Heroísmo,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,11,2
Escolinha do Desporto de Posto Santo,Açores,Angra do Heroísmo,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,4,5
Escolinha do Desporto de Terra-Chã,Açores,Angra do Heroísmo,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,2,4
Escolinha do Desporto do Alto das Covas,Açores,Angra do Heroísmo,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,9,0
Escolinha do Desporto São João de Deus,Açores,Angra do Heroísmo,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,1,1
Esferantástica - Associação Cultural e Desportiva,Lisboa,Cascais,Andebol_Andebol,Andebol,Andebol,s/d,0,0
Esferinhas Futebol Clube,Setúbal,Setúbal,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,43,0
Esmoriz Ginásio Clube,Aveiro,Ovar,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,121,108
Esperança Atlético Clube,Coimbra,Coimbra,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,99,26
Esperança Atlético Clube,Coimbra,Coimbra,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,25,1
Espírito Azul - Mergulho de Actividades Maritimo-Turisticas Lda.,Açores,Vila Franca do Campo,Actividades Subaquáticas_Actividades Subaquáticas,Actividades Subaquáticas,Actividades Subaquáticas,2012 / 2013,1,0
Essência do Eixo Desporto e Bem Estar Unipessoal Lda.,Lisboa,Amadora,Actividades Subaquáticas_Actividades Subaquáticas,Actividades Subaquáticas,Actividades Subaquáticas,2012 / 2013,6,0
Estarreja Andebol Clube,Aveiro,Estarreja,Andebol_Andebol,Andebol,Andebol,2012 / 2013,90,0
ESTE Futebol Clube,Braga,Braga,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,50,0
Estela Golfe Club,Porto,Póvoa de Varzim,Golfe_Golfe,Golfe,Golfe,2012 / 2013,216,36
Estoril Atlético Clube,Lisboa,Cascais,Futebol_Futebol 7,Futebol,Futebol 7,s/d,0,0
Estoril Atlético Clube,Lisboa,Cascais,Futebol_Futebol Praia,Futebol,Futebol Praia,s/d,0,0
Estoril Basket Clube,Lisboa,Cascais,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,135,24
Estrela da Calheta Futebol Clube,Madeira,Calheta (Madeira),Bilhar_Bilhar,Bilhar,Bilhar,2012 / 2013,14,0
Estrela da Calheta Futebol Clube,Madeira,Calheta (Madeira),Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,69,0
Estrela da Calheta Futebol Clube,Madeira,Calheta (Madeira),Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,14,0
Estrela de Santo André - Associação de Cultura Recreio e Desporto,Setúbal,Santiago do Cacém,Ginástica_Ginástica Acrobática,Ginástica,Ginástica Acrobática,2012 / 2013,0,23
Estrela de Santo André - Associação de Cultura Recreio e Desporto,Setúbal,Santiago do Cacém,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,0,39
Estrela do Campo Aviação Futebol Clube,Castelo Branco,Covilhã,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,23,4
Estrela do Mondego Futebol Clube,Viseu,Mangualde,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,19,0
Estrela do Mondego Futebol Clube,Viseu,Mangualde,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,29,0
Estrela e Vigorosa Sport,Porto,Porto,Andebol_Andebol,Andebol,Andebol,2012 / 2013,52,0
Estrela e Vigorosa Sport,Porto,Porto,FPDD_FPDD,FPDD,FPDD,2012 / 2013,6,5
Estrela e Vigorosa Sport,Porto,Porto,Ginástica_Ginástica Acrobática,Ginástica,Ginástica Acrobática,2012 / 2013,3,41
Estrela e Vigorosa Sport,Porto,Porto,Ginástica_Ginástica Artística,Ginástica,Ginástica Artística,2012 / 2013,4,8
Estrela e Vigorosa Sport,Porto,Porto,Patinagem_Hóquei em Patins,Patinagem,Hóquei em Patins,2012 / 2013,58,2
Estrela e Vigorosa Sport,Porto,Porto,Ténis_Ténis,Ténis,Ténis,2012 / 2013,123,42
Estrela Futebol Clube de Vendas Novas,Évora,Vendas Novas,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,20,15
Estrela Futebol Clube de Vendas Novas,Évora,Vendas Novas,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,10,11
Estrela Futebol Clube de Vendas Novas,Évora,Vendas Novas,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,67,0
Estrela Futebol Clube de Vendas Novas,Évora,Vendas Novas,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,1,0
